stop_id,stop_name
401040,MANHATTAN AV/CATHEDRAL PKY
401044,W 116 ST/FRED DOUGLASS BL
401045,W 116 ST/ADAM C POWELL BL
401047,MALCOLM X BL/W 119 ST
401051,MALCOLM X BL/W 127 ST
401052,MALCOLM X BL/W 129 ST
401055,MALCOLM X BL/W 135 ST
401056,MALCOLM X BL/W 137 ST
401069,MALCOLM X BL/W 135 ST
401070,MALCOLM X BL/W 132 ST
401074,MALCOLM X BL/W 122 ST
401078,W 116 ST/ST NICHOLAS AV
401079,W 116 ST/FRED DOUGLASS BL
401084,MANHATTAN AV/W 108 ST
401085,MANHATTAN AV/W 106 ST
401086,COLUMBUS AV/W 106 ST
401087,COLUMBUS AV/W 102 ST
401088,COLUMBUS AV/W 100 ST
401090,COLUMBUS AV/W 94 ST
401091,COLUMBUS AV/W 92 ST
401092,COLUMBUS AV/W 89 ST
401093,COLUMBUS AV/W 86 ST
401094,COLUMBUS AV/W 84 ST
401096,COLUMBUS AV/W 78 ST
401099,COLUMBUS AV/W 72 ST
401100,COLUMBUS AV/W 69 ST
401102,COLUMBUS AV/W 63 ST
401139,GRAND ST/CLINTON ST
401140,GRAND ST/PITT ST
401141,GRAND ST/EAST BROADWAY
401142,GRAND ST/JACKSON ST
401147,GRAND ST/COLUMBIA ST
401149,GRAND ST/PITT ST
401150,GRAND ST/CLINTON ST
401168,E BROADWAY/FORSYTH ST
401169,E BROADWAY/PIKE ST
401182,E 14 ST/AV B
401183,E 14 ST/AV A
401191,E 14 ST/3 AV
401192,E 14 ST/2 AV
401193,E 14 ST/1 AV
401194,E 14 ST/AV A
401195,E 14 ST/AV B
401202,ESSEX ST/E HOUSTON ST
401206,ESSEX ST/GRAND ST
401208,E BROADWAY/PIKE ST
401209,E BROADWAY/MARKET ST
401210,E BROADWAY/CATHERINE ST
401220,HUDSON ST/PERRY ST
401223,8 AV/W 14 ST
401224,8 AV/W 17 ST
401225,8 AV/W 20 ST
401226,8 AV/W 23 ST
401227,8 AV/W 25 ST
401229,8 AV/W 28 ST
401231,8 AV/W 34 ST
401232,8 AV/W 37 ST
401239,8 AV/W 52 ST
401245,CENTRAL PK W/W 67 ST
401248,CENTRAL PK W/W 72 ST
401250,CENTRAL PK W/W 77 ST
401252,CENTRAL PK W/W 82 ST
401253,CENTRAL PK W/W 84 ST
401254,CENTRAL PK W/W 87 ST
401255,CENTRAL PK W/W 88 ST
401256,CENTRAL PK W/W 90 ST
401257,CENTRAL PK W/W 92 ST
401258,CENTRAL PK W/W 94 ST
401259,CENTRAL PK W/W 97 ST
401261,CENTRAL PK W/W 100 ST
401262,CENTRAL PK W/W 102 ST
401263,CENTRAL PK W/W 104 ST
401264,CENTRAL PK W/W 106 ST
401265,CENTRAL PK W/W 108 ST
401267,FRED DOUGLASS BL/W 111 ST
401268,FRED DOUGLASS BL/W 113 ST
401269,FRED DOUGLASS BL/W 116 ST
401270,FRED DOUGLASS BL/W 119 ST
401271,FRED DOUGLASS BL/W 121 ST
401272,FRED DOUGLASS BL/W 123 ST
401274,FRED DOUGLASS BL/W 127 ST
401275,FRED DOUGLASS BL/W 129 ST
401276,FRED DOUGLASS BL/W 131 ST
401277,FRED DOUGLASS BL/W 133 ST
401281,FRED DOUGLASS BL/W 141 ST
401282,FRED DOUGLASS BL/W 143 ST
401286,FRED DOUGLASS BL/W 153 ST
401287,FRED DOUGLASS BL/W 155 ST
401288,FRED DOUGLASS BL/W 158 ST
