stop_id,stop_name,direction
A32N,W 4 St-Wash Sq,UPT
A32S,W 4 St-Wash Sq,DWT
A33,Spring St,STATION
A33N,Spring St,UPT
A33S,Spring St,DWT
A34,Canal St,STATION
A34N,Canal St,UPT
A34S,Canal St,DWT
A36,Chambers St,STATION
A36N,Chambers St,UPT
A36S,Chambers St,DWT
A38,Fulton St,STATION
A38N,Fulton St,UPT
A38S,Fulton St,DWT
A40,High St,STATION
A40N,High St,UPT
A40S,High St,DWT
A41,Jay St-MetroTech,STATION
A41N,Jay St-MetroTech,UPT
A41S,Jay St-MetroTech,DWT
A42,Hoyt-Schermerhorn Sts,STATION
A42N,Hoyt-Schermerhorn Sts,UPT
A42S,Hoyt-Schermerhorn Sts,DWT
A43,Lafayette Av,STATION
A43N,Lafayette Av,UPT
A43S,Lafayette Av,DWT
A44,Clinton-Washington Avs,STATION
A44N,Clinton-Washington Avs,UPT
A44S,Clinton-Washington Avs,DWT
A45,Franklin Av,STATION
A45N,Franklin Av,UPT
A45S,Franklin Av,DWT
A46,Nostrand Av,STATION
A46N,Nostrand Av,UPT
A46S,Nostrand Av,DWT
A47,Kingston-Throop Avs,STATION
A47N,Kingston-Throop Avs,UPT
A47S,Kingston-Throop Avs,DWT
A48,Utica Av,STATION
A48N,Utica Av,UPT
A48S,Utica Av,DWT
A49,Ralph Av,STATION
A49N,Ralph Av,UPT
A49S,Ralph Av,DWT
A50,Rockaway Av,STATION
A50N,Rockaway Av,UPT
A50S,Rockaway Av,DWT
A51,Broadway Junction,STATION
A51N,Broadway Junction,UPT
A51S,Broadway Junction,DWT
A52,Liberty Av,STATION
A52N,Liberty Av,UPT
A52S,Liberty Av,DWT
A53,Van Siclen Av,STATION
A53N,Van Siclen Av,UPT
A53S,Van Siclen Av,DWT
A54,Shepherd Av,STATION
A54N,Shepherd Av,UPT
A54S,Shepherd Av,DWT
A55,Euclid Av,STATION
A55N,Euclid Av,UPT
A55S,Euclid Av,DWT
A57,Grant Av,STATION
A57N,Grant Av,UPT
A57S,Grant Av,DWT
A59,80 St,STATION
A59N,80 St,UPT
A59S,80 St,DWT
A60,88 St,STATION
A60N,88 St,UPT
A60S,88 St,DWT
A61,Rockaway Blvd,STATION
A61N,Rockaway Blvd,UPT
A61S,Rockaway Blvd,DWT
A63,104 St,STATION
A63N,104 St,UPT
A63S,104 St,DWT
A64,111 St,STATION
A64N,111 St,UPT
A64S,111 St,DWT
A65,Ozone Park-Lefferts Blvd,STATION
A65N,Ozone Park-Lefferts Blvd,UPT
A65S,Ozone Park-Lefferts Blvd,DWT
B04,21 St-Queensbridge,STATION
B04N,21 St-Queensbridge,UPT
B04S,21 St-Queensbridge,DWT
B06,Roosevelt Island,STATION
B06N,Roosevelt Island,UPT
B06S,Roosevelt Island,DWT
B08,Lexington Av/63 St,STATION
B08N,Lexington Av/63 St,UPT
B08S,Lexington Av/63 St,DWT
B10,57 St,STATION
B10N,57 St,UPT
B10S,57 St,DWT
B12,9 Av,STATION
B12N,9 Av,UPT
B12S,9 Av,DWT
B13,Fort Hamilton Pkwy,STATION
B13N,Fort Hamilton Pkwy,UPT
B13S,Fort Hamilton Pkwy,DWT
B14,50 St,STATION
B14N,50 St,UPT
B14S,50 St,DWT
B15,55 St,STATION
B15N,55 St,UPT
B15S,55 St,DWT
B16,62 St,STATION
B16N,62 St,UPT
B16S,62 St,DWT
B17,71 St,STATION
B17N,71 St,UPT
B17S,71 St,DWT
B18,79 St,STATION
B18N,79 St,UPT
B18S,79 St,DWT
B19,18 Av,STATION
B19N,18 Av,UPT
B19S,18 Av,DWT
B20,20 Av,STATION
B20N,20 Av,UPT
B20S,20 Av,DWT
B21,Bay Pkwy,STATION
B21N,Bay Pkwy,UPT
B21S,Bay Pkwy,DWT
B22,25 Av,STATION
B22N,25 Av,UPT
B22S,25 Av,DWT
B23,Bay 50 St,STATION
B23N,Bay 50 St,UPT
B23S,Bay 50 St,DWT
D01,Norwood-205 St,STATION
D01N,Norwood-205 St,UPT
D01S,Norwood-205 St,DWT
D03,Bedford Park Blvd,STATION
D03N,Bedford Park Blvd,UPT
D03S,Bedford Park Blvd,DWT
D04,Kingsbridge Rd,STATION
D04N,Kingsbridge Rd,UPT
D04S,Kingsbridge Rd,DWT
D05,Fordham Rd,STATION
D05N,Fordham Rd,UPT
D05S,Fordham Rd,DWT
D06,182-183 Sts,STATION
D06N,182-183 Sts,UPT
D06S,182-183 Sts,DWT
D07,Tremont Av,STATION
D07N,Tremont Av,UPT
D07S,Tremont Av,DWT
D08,174-175 Sts,STATION
D08N,174-175 Sts,UPT
D08S,174-175 Sts,DWT
D09,170 St,STATION
D09N,170 St,UPT
D09S,170 St,DWT
D10,167 St,STATION
D10N,167 St,UPT
D10S,167 St,DWT
D11,161 St-Yankee Stadium,STATION
D11N,161 St-Yankee Stadium,UPT
D11S,161 St-Yankee Stadium,DWT
D12,155 St,STATION
D12N,155 St,UPT
D12S,155 St,DWT
D13,145 St,STATION
D13N,145 St,UPT
D13S,145 St,DWT
D14,7 Av,STATION
D14N,7 Av,UPT
D14S,7 Av,DWT
D15,47-50 Sts-Rockefeller Ctr,STATION
D15N,47-50 Sts-Rockefeller Ctr,UPT
D15S,47-50 Sts-Rockefeller Ctr,DWT
D16,42 St-Bryant Pk,STATION
D16N,42 St-Bryant Pk,UPT
D16S,42 St-Bryant Pk,DWT
D17,34 St-Herald Sq,STATION
D17N,34 St-Herald Sq,UPT
D17S,34 St-Herald Sq,DWT
D18,23 St,STATION
D18N,23 St,UPT
D18S,23 St,DWT
D19,14 St,STATION
D19N,14 St,UPT
D19S,14 St,DWT
D20,W 4 St-Wash Sq,STATION
D20N,W 4 St-Wash Sq,UPT
D20S,W 4 St-Wash Sq,DWT
D21,Broadway-Lafayette St,STATION
D21N,Broadway-Lafayette St,UPT
D21S,Broadway-Lafayette St,DWT
D22,Grand St,STATION
D22N,Grand St,UPT
D22S,Grand St,DWT
D24,Atlantic Av-Barclays Ctr,STATION
D24N,Atlantic Av-Barclays Ctr,UPT
D24S,Atlantic Av-Barclays Ctr,DWT
D25,7 Av,STATION
D25N,7 Av,UPT
D25S,7 Av,DWT
D26,Prospect Park,STATION
D26N,Prospect Park,UPT
D26S,Prospect Park,DWT
D27,Parkside Av,STATION
D27N,Parkside Av,UPT
D27S,Parkside Av,DWT
D28,Church Av,STATION
D28N,Church Av,UPT
D28S,Church Av,DWT
D29,Beverley Rd,STATION
D29N,Beverley Rd,UPT
D29S,Beverley Rd,DWT
D30,Cortelyou Rd,STATION
D30N,Cortelyou Rd,UPT
D30S,Cortelyou Rd,DWT
D31,Newkirk Plaza,STATION
D31N,Newkirk Plaza,UPT
D31S,Newkirk Plaza,DWT
D32,Avenue H,STATION
D32N,Avenue H,UPT
D32S,Avenue H,DWT
D33,Avenue J,STATION
D33N,Avenue J,UPT
D33S,Avenue J,DWT
D34,Avenue M,STATION
D34N,Avenue M,UPT
D34S,Avenue M,DWT
D35,Kings Hwy,STATION
D35N,Kings Hwy,UPT
D35S,Kings Hwy,DWT
D37,Avenue U,STATION
D37N,Avenue U,UPT
D37S,Avenue U,DWT
D38,Neck Rd,STATION
D38N,Neck Rd,UPT
D38S,Neck Rd,DWT
D39,Sheepshead Bay,STATION
D39N,Sheepshead Bay,UPT
D39S,Sheepshead Bay,DWT
D40,Brighton Beach,STATION
D40N,Brighton Beach,UPT
D40S,Brighton Beach,DWT
D41,Ocean Pkwy,STATION
D41N,Ocean Pkwy,UPT
D41S,Ocean Pkwy,DWT
D42,W 8 St-NY Aquarium,STATION
D42N,W 8 St-NY Aquarium,UPT
D42S,W 8 St-NY Aquarium,DWT
D43,Coney Island-Stillwell Av,STATION
D43N,Coney Island-Stillwell Av,UPT
D43S,Coney Island-Stillwell Av,DWT
E01,World Trade Center,STATION
E01N,World Trade Center,UPT
E01S,World Trade Center,DWT
F01,Jamaica-179 St,STATION
F01N,Jamaica-179 St,UPT
F01S,Jamaica-179 St,DWT
F02,169 St,STATION
F02N,169 St,UPT
F02S,169 St,DWT
F03,Parsons Blvd,STATION
F03N,Parsons Blvd,UPT
F03S,Parsons Blvd,DWT
F04,Sutphin Blvd,STATION
F04N,Sutphin Blvd,UPT
F04S,Sutphin Blvd,DWT
F05,Briarwood,STATION
F05N,Briarwood,UPT
F05S,Briarwood,DWT
F06,Kew Gardens-Union Tpke,STATION
F06N,Kew Gardens-Union Tpke,UPT
F06S,Kew Gardens-Union Tpke,DWT
F07,75 Av,STATION
F07N,75 Av,UPT
F07S,75 Av,DWT
F09,Court Sq-23 St,STATION
F09N,Court Sq-23 St,UPT
F09S,Court Sq-23 St,DWT
F11,Lexington Av/53 St,STATION
F11N,Lexington Av/53 St,UPT
F11S,Lexington Av/53 St,DWT
F12,5 Av/53 St,STATION
F12N,5 Av/53 St,UPT
F12S,5 Av/53 St,DWT
F14,2 Av,STATION
F14N,2 Av,UPT
F14S,2 Av,DWT
F15,Delancey St-Essex St,STATION
F15N,Delancey St-Essex St,UPT
F15S,Delancey St-Essex St,DWT
F16,East Broadway,STATION
F16N,East Broadway,UPT
F16S,East Broadway,DWT
F18,York St,STATION
F18N,York St,UPT
F18S,York St,DWT
F20,Bergen St,STATION
F20N,Bergen St,UPT
F20S,Bergen St,DWT
F21,Carroll St,STATION
F21N,Carroll St,UPT
F21S,Carroll St,DWT
F22,Smith-9 Sts,STATION
F22N,Smith-9 Sts,UPT
F22S,Smith-9 Sts,DWT
F23,4 Av-9 St,STATION
F23N,4 Av-9 St,UPT
F23S,4 Av-9 St,DWT
F24,7 Av,STATION
F24N,7 Av,UPT
F24S,7 Av,DWT
F25,15 St-Prospect Park,STATION
F25N,15 St-Prospect Park,UPT
F25S,15 St-Prospect Park,DWT
F26,Fort Hamilton Pkwy,STATION
F26N,Fort Hamilton Pkwy,UPT
F26S,Fort Hamilton Pkwy,DWT
F27,Church Av,STATION
F27N,Church Av,UPT
F27S,Church Av,DWT
F29,Ditmas Av,STATION
F29N,Ditmas Av,UPT
F29S,Ditmas Av,DWT
F30,18 Av,STATION
F30N,18 Av,UPT
F30S,18 Av,DWT
